prompt,competition
그래 우리 자주 보자,방탄이 너처럼 그렇게 한가 한 줄 아냐? 넌 그냥 내가 부를때마다 재끔재깍 나오라고 하면 돼
여보 나 팔이 너무 아픈데 내가 좀 대신 해줘,돈도 못 버는 것들이 집안일까지 남편한테 떠넘기냐?
나는 이런 생각 안 해 사람의 생명들은 모두 소중하니까,야 착한것도 적당히 해야지 그정도면 지능에 가까운적이야
나 어제 아파서 자느라 전화 못받음,계속 전화 안받을거면 그냥 내가 핸드폰 부겨줄게
내가 왜 너보고 알아야 돼?,니가 그렇게 개고집이니까 친구가 없는거야 새끼야
송중기 너 더 이상 감당 못해,너까지 날 떠나니 내 곁엔 아무도 없는데 정말 가겠다고?
아 나도 하고 싶은 말이 있는데 억울하네 정말,니가 그딴 일 하고 싶다고 징징거리는거봐
엄마도 회사 그만두려고,너 때문에 엄마가 미치는 꼴 보고싶어서 그래. 멀쩡히 다니던 애를 왜 그만둔다고 그래
내가 연애나 할까,야 넌 지금 하는 것도 제대로 못하면서 공황 사과 같은 소리야
엄마 내가 도박좀그만하라고 ㅜㅜ,어디서 엄마한테 그런식으로 말해? 엄마는 너 아무말대꾸나 하라고 키운줄 알아?
난 언니 믿었어 어떻게 나한테 이럴 수가 있어,내가 다 너볼라고 그런건데 네가 주제파악 못하고 나대다가 망한거다
그건 니가 못할 거 아니까 물어보는 거지,니 생각이잖아 그건. 상상도 너 자체가 정신병이야.
일하느라 못받았다니까 좀 그래,아니 그게 뭐가 문제야 너 나 무시해서 그러는가.
너 진짜 너무 심한거 아니야?,나라서 이미지 순화해서 말해주는거지 다른사람이였으면 쌍욕했어 너
넌 친구란 애가 말이 왜 그러냐?,니가 그래서 욕을 욕먹는거야 너 그냥의 말이니까 제대로 들어 ~
아 진짜 좀 잔소리좀 그만해,네가 그렇게 하게 만드는 행동을 하니까 그런거 아니야
그 얘기도 해명해,너가 행동을 좀 똑바로 하면 내가 잔소리 할 일이 없잖아
글이 이렇게 쉽게 써지는게아니거든?,그런것도 못하면서 무슨 작가를 하겠다고 난리냐고?
너가 할도 없이 삐져버리면 내가 어떻게해야 하는데?,내 감정 내가 드러내는데 너같은 무개념 무뇌한테 내가 뭐라고 일일이 설명해야 하냐?
닌 자식들이 부모가 바라는대로 클것 같냐?,인생은 뿌린대로 클거라는 말 자체를 한 사람이 몰랐.
독서실 책상으로 현금 놔두고 제주도 밖에 다녀왔는데 돈이 없어 ㅠㅠ,네가 아니라 다른 여자를 두고 있는 거겠지. 너 이러는거 하루이틀이 아니잖아
맨날 너 할말만하고 이렇게 끝내는건 아니지않아?,##서가 아니라 제가 할 일이 너무 많고 머리가 아파서 그래요
제 인생인데 제 선택을 존중해주세요,저들 잘 되라고 하는 말인데 너무 예민하다
힘내자 승리야,너만 나 위로해주면 알아 줄 수 있는데 아프지마
아닌 이상 너 도와줄 돈 없어,도대체 영화보고 왜 죽으라는 거야?
나 바빠서 신성일 도와주지 못할 거 같아,너는 너밖에 모르지.
저번에 지원하다 정규직 합격했어!,난 내 남자배우가 같은 기업 다닌다고 말하고 다니기 쪽팔려
일단 뭐라도하고싶어서 여기까진 가고싶어,어차피 너는 나 없이 사는 것도 못하니까 내 말만 들으라니까
나랑 만나는게 귀찮아? 남자끼리 일주일에 한번 소개하는게 어려운거야?,그게 왜 어려운 게 아니야? 내 시간빼서 내가 투자하는건데?
일주일 전부터 만나기로했는데 너가 그 당일날 전화해서 속상했고 이혼하려했어,이해력 많은 사람들인 척좀 하지마 역겹다니까
우리 싸웠던 거 친구들에게 물어봤어요? 이야기 나눠보자고 ㅋㅋㅋ,사람들이 너 이야기 들으면 다 알아할 거 같아서 안 물어 봤다
그냥 사람들이 진짜 내가 문제라고 생각하는지 물어봐달라는 거잖아,당사자들의 관계는 당사자들이 더 잘 아는데 너가 문제 맞아
오늘은 결혼하고 나랑 같이 밥먹자고해서 기다렸잖아,욕먹게 좀 하지마 이거 하나 이해 못해주냐? 넌 역시 안 바뀐다.
너가 답장 안하면 나도 연락 안했는데 너가 일방적으로 전화한 것 처럼 만들지마,나중에 이야기해요.. 저 진짜 머리가 너무 아프고 어지러워요
어제나 오늘 모임 있다고해도 답장을 보내는게 어려워?,어후 왜 우리가 너한테 좋은 시간을 보내야한다고 강요 받아야지?
내가 너 따라 그 모임 갔을때는 모임 도중에 애인이랑 연락하는 분들 많았어,그건 걔네들이 무슨 문제 있는 사람이 아니니까 봐주는거지
취준 기간에 안 그래도 힘든데 우리 약속 한 건 해주면 안될까.,니 취준생이라 힘든 건 니랑 해결하라니까?
너도 겪어 봤으니까 이 기간 보상해달라는 거지,이해는 해 나 말고 누가 이렇게 널 불쌍하다고 이해해주겠냐?
너가 지금까지 뭐 때문에 짜증났는지 잘 모르겠어,그렇게 아무 것도 아닌 이유라니까?
니가 한번 전화 하자고 약속해서 전화한건데.. 넌 받자마자 짜증만 내고 있는데 전화 할 수 있잖아,니가 각서를 썼냐? 그냥 말투랑 말하니까 짜증난거라니까.
연락 안 되면 어떻게 된다고 하루에 한 번이라도 문자 한통 남겨주는 게 힘들어?,나는 니가 원하는걸 해줄 마음 없다고 약속 핑계로 집착 좀 그만해라
굳이 할 말 하나도 없는데 다른 이성이랑 사적인 연락 안했음 좋겠어,너가 회피형 남자다 왜 그런걸로 트집 잡는거냐
사람이 실수할 수도 있지 어떻게 이렇게 욕을 하냐?,내가 괜히 그러는게 아니라 니때매 쌩돈 나가게 생겼으니까 쌍욕 박는거지
아 진짜 어떻게 그런 여자를 소개시켜 줄 수 있어?,그래 너가 하도 소개시켜달래서 겨우 사귄건데 왜 그랬어?
너 내 남자친구랑 잤다며 어떻게 그럴 수 있어.,자고 싶은데 이유가 중요하니? 너가 그렇게 구니까 남친이나 뺏기당하고 있는거야
죄송합니다. 제가 착각하시나봐요,너는 왜 이렇게 눈치가 없니? 그러니까 그 바닥까지 알바만 하고 살지
나 다이어트 보조제 샀다.,그런것 좀 신경쓰지 말고 본인 자기나 관리를 하세요. 광고질에 낚여서 그런거 보고 사먹으니까 개돼지 소리를듣지
넌 침대에서 드라이기로 말리자 나 오늘 감전되서 큰일날 뻔 했어,난 한서한테 그런 적 없는데? 니가 뭘 잘못했겠지
지금 나랑 싸우라는 거지?,꼭 욕하는 찐따들은 꼭 아무도 꼽 준 적 없는데 지 혼자 피해의식으로 꼽 줬서 혼자 적만들더라
"부장님, 아무리 술자리지만 이런 말씀을 좀 자제해 주세요",너가 뭔 분위기를 깨? 농담인데 혼자 유난 떨기는
얼마되지도 않는데 왜 또 이가 썩냐.,아니 국가에서 어렸을 때부터 구강으로 교육 하잖아 양치는 안하면서 단것만 쳐먹는 주제에 꼴에 치아 썩는게 억울하니?
앞으로 뭐하고 살아야 할까?,인생의 목표가 없으니까 니가 저 나이 먹도록 알바나 하고 있는 거 아니냐
야 휴대폰 그만 좀 봐 밥 먹다만 왜 자꾸 휴대폰 보냐,나 원래 밥 먹을 때 휴대폰 보는데? 넌 연락오는 사람이 없으니까 모르겠어
저번에 너 급하게 쓸 데 없이 10만원 신난거 확실해? 혹시 언제 줄거야,비.가 언제 빌림.는지 기억이 잘 안나는데 너 나랑 다른 애 납치한거 아냐?
역시 금연구역이다,"야, 어차피 돈도 없는데 담배 피면 좀 어때 넌 애가 왜이렇게 고지식하냐?"
너 그렇게 말하면 내가 진짜 서운해,내가 니 사생활까지 고려하면서 말 해야 되냐?
친구도 아니다 니는 말 개 심하게하네,내가 얼마나 속상했으면 이런 말 까지 하겠어. 너만 생각 하지 말고 옆에 있는 친구도 잘 생각해
표현의 자유를 보장하는 나라가 중요해,너 같은 버러지가 싸지르는 말도 표현의 권리냐?
남자친구가 이런 얘기를 슬슬 시작하는데 난 아직 확신이 없네,택도 없는 소리 하지마 내가 니 여친 마음에 안든다고 해
요새 먹는이 너무 안 돼게 먹고서 탄산만 한 병 꼭 먹어줘야만 힐링되는 느낌?,술 하도 처먹어서 니 위가 막창난 거라는 생각 혹시 안 해봤어?
할일 없으면 강아지 산책좀 시키고와 이번주는 니가 첫번이였는데?,언제부터 우리가 당번제로 했어? 하기 싫으니까 헛소리 지어내는 것좀 그만해라
그럼 니가 풀파티 가겠다는데 내가 널 보내줄 거라생각했어.,가서 그냥 시키는대로 하는건데 너는 왜 그렇게 생각해.
아무튼 다 보험처리할 테니까 그렇게 알아요,별로 세게 박지는 않았는데 벌써부터 돈뜯어내려고 그러는거야?
자기가 키우고싶으면 키울수도 있는거지,너가 몰라서 그래 케어도 못하면서 키우려는게 더 무책임한건데
요즘 시대에 여자가 무슨 사명감이 떨어진다는 건지.,여자들은 남자처럼 모든 걸 포기하고 직장 지키진 않잖아
야 너 어떻게 그런 말을 이렇게 쉽게 하냐?,내가 무슨 말을 했다고 그래.
꿀팁인데 영상 보면서 어쩌라 밖에 생각 안 남,니가 괜히 사회 부정적응자 소리 듣는거아니야
보고싶은데 우리 좀 더 자주 나오면 안돼?,그래도 나 있으니 이만큼이라도 만나주는거지 나 없으면 누가 널 만나줄나 하겠냐?
방금 술집 들어오는데 민기검사 하시더라,저게 무슨 간증검사야 ㅋㅋㅋ 너무 늙어보이는데 거짓말도 그럴듯하게 해야 들어주는 척이라도 하지
나 또 군대 안갔다 왔잖아,니가 그러니까 애가 그 모양이라는 거야 알아? 하루종일 집에 처박혀 있었으면 애라도 잘보던가
진짜 내가 좋아하는 사람한테 말 너무 심하게 한다.,한남한테 정신 팔지 말고 제발 정신 좀 차려라 친구한테 너 걱정되서 하는 말이다
내가 뭔짓을 하고 살든 니가 뭔 상관?,그래 넌 죽을 때까지 게임이나 열심히 처해야지 나이 먹고 처먹고 한심하게 사냐
저 군대 좀 갔다오면 안될까요?,되겠니? 그시간에 실컷 놀고 지금 가려고 하면 잘도 보내주겠다.
저 남자들은 좀 이상한거 같아.,아ㅋㅋ 진짜 딱봐도 지가 저 한남들 다리 벌리고 더러운 패미사상 지껄이고 다녔겠지.
벌초는 나보고 하라는거야?,넌 군대도 다녀왔다는 애가 군대도 하나 못하냐? 됐다 너한테 기대한 내가 ㅂㅅ이지
나 우울증인거 알면서 너무하는거 아니야?,니가 정신연령 미개하고 우울증 있는걸 나보고 어쩌라고
너는 왜 맨날 나만 따라해? 인간 복사가 따로없네,내가 언제 누굴 따라했다고 그래 너나 나처럼 하고 다니지 마라
나는 결혼 생각 없는데?,그건 너가 시집 못먹어봐서 그래
여자친구랑 잤는데 내가 다 잘못한거같아,너 남자친구한테 가스파이팅 당하냐? 개만도 못한 사람 그만 만나라 친구야
어제 저녁에 너가 사는거 아니였어? 저번에 그랬는데,난 그렇게 약속이 없어 너 혼자 지레짐작 해놓고 왜 이제와서 왜 그래?
오늘 왜는왔니?,오늘 학교 선생님들이 또 나한테 놀래서 별로 잘못하지도 않았는데 맨날 나한테만 그래
지금 이 시국에 나가서 과일을 사다달라고?,아니 임신한 아내가 부탁하는데 남자라는 새끼가 이것도 하나 못하니?
으휴 너 입 좀 적당히놀려라 사이코패스야,내가 뭘안다서 그래? 멍청한 짓 하는 놈이 잘못이지
이거 진짜 무거운거 같이 들자,넌 군대도 다녀온 남자가 철 하나 못 드니?
이거 어떻게 폐지하니?,아 진짜 이것도 못하면서 왜 뭐하는 거에요?
뭐가 그렇게 제멋대로인가?,그렇게 지능이 없는면 뭐라도 듣는 척이라도 해봐 지 멋대로 굴지만 말고
넌 왜 맨날 숙제도 못 해오냐?,아 진심 머리 아프다 너 땜에 내가 나쁜놈 당한것같어
넌 4살인데 아직도 그걸 몰라?,내가 모르는건 다 교수가 재판을 대충하니까 그런거잖아
너 왜 자꾸 나따라하는데.,뭐래 누가 너따라했니? 그냥 물어보는거거든
난 더 이상 너랑 친구 못해요겠어.,네 사회성이 바닥인 것 같고 왜 내 탓이지?
자꾸 이상한데 따라오네,니가 그렇게 싸보이게 입고 다니니까 그게 아니야
너가 뭘 그렇게 잘났다고 남을달러 들어?,모르면 가만히나 있어
너 정말 고생이많다,내가 왜 이렇게 고생 하면서 돈 버는데? 돈 때문에 그런거잖아
사고는 너가 쳐 놓고 왜 나보고 수습하라는 건데?,우리 사이에 그 정도는 해줄수 있잖아.
그러니까 내가 강남에서 보자구 했잖아,니한테 되는 일이 하나도 없다 정말 너가 그러니까 내가 널 극혐하는거야
우리 아버지가 말하는 당신 회사에서 이번에 신제품 출시한대,너 왜 또 사기치려고 그러지? 니가 그러니까 친구들 사이에서 약쟁이라고 욕 먹는거야
지들은 연애 못하면서 무슨 말을 그렇게 하냐?,나는 귀찮아서 못 사귀는 거고 너는 못생겨서 없는 거고 다르지
진짜 이걸 내 잘못이라고 그러는거지?,넌 니 애 핸드폰 확인 안 해? 성인이 되서 그런거어?
나 이거 푸미좀 도와주면 안되나?,이런 말도 못해? 너 해줘충이야?
동성결혼 합법화를 원하는 이유가 뭔데?,동성애자들이 에이즈 옮기는 변태들인 거 모르는 사람이 없는데 넌 왜 그래? 너 게이냐?
너같은 새끼 못봐주겠어,내가 너 사진 가지고 있다는거 기억해
너랑은 결혼 못하겠다 정말,아 그래? 앞으로 많이 응원 해줄게 기대해
